Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Segment,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
CA-01012,2021-05-09,2021-05-16,Standard Class,CU-7877,Corporate,East,P-97224,Office Supplies,Envelopes,Wausau Astrobright Envelopes,3153.18,6,0.5,582.94
CA-01013,2022-12-11,2022-12-13,Second Class,CU-7335,Home Office,Central,P-28212,Furniture,Tables,Bevis Computer Table,2708.78,2,0.0,2.27
CA-01014,2021-11-07,2021-11-13,Standard Class,CU-3777,Corporate,Central,P-66457,Technology,Copiers,Xerox DocuCenter Copier,756.42,1,0.3,165.36
CA-01015,2023-01-10,2023-01-13,Standard Class,CU-6944,Corporate,Central,P-23007,Furniture,Furnishings,Eldon Shelf,8922.24,12,0.0,1264.78
CA-01016,2021-03-13,2021-03-20,Standard Class,CU-3652,Home Office,Central,P-12052,Technology,Accessories,Logitech Mouse,5863.98,14,0.2,1103.07
CA-01017,2020-04-04,2020-04-05,Same Day,CU-2449,Corporate,West,P-61454,Furniture,Tables,Chromcraft Table,2659.0,4,0.1,-133.67
CA-01018,2022-03-06,2022-03-10,Second Class,CU-1089,Home Office,West,P-90653,Office Supplies,Fasteners,OIC Staples,402.95,12,0.1,105.83
CA-01019,2022-08-30,2022-09-04,Standard Class,CU-9447,Consumer,Central,P-79177,Office Supplies,Art,Fiskars Scissors,1981.68,2,0.0,531.88
CA-01020,2020-12-11,2020-12-12,Standard Class,CU-5139,Home Office,South,P-82741,Furniture,Bookcases,Bush Bookcases,1007.15,2,0.1,-133.08
CA-01021,2022-06-26,2022-06-30,Second Class,CU-5797,Corporate,South,P-14041,Technology,Copiers,HP LaserJet Copier,18257.07,13,0.0,4302.93
CA-01022,2020-05-12,2020-05-18,Same Day,CU-5225,Consumer,South,P-38433,Furniture,Chairs,Bretford Chair,8044.2,12,0.5,425.27
CA-01023,2023-07-17,2023-07-18,Second Class,CU-9528,Corporate,Central,P-31687,Furniture,Tables,Chromcraft Table,3059.83,11,0.3,-755.58
CA-01024,2022-12-26,2022-12-28,Standard Class,CU-3524,Home Office,South,P-37928,Furniture,Bookcases,Sauder Bookcases,6299.86,6,0.2,570.38
CA-01025,2021-09-25,2021-09-27,First Class,CU-1161,Corporate,South,P-70988,Technology,Phones,Apple iPhone,4876.76,14,0.0,616.13
CA-01026,2023-01-23,2023-01-28,First Class,CU-1759,Home Office,Central,P-76507,Technology,Accessories,Logitech Mouse,7243.02,6,0.0,1484.49
CA-01027,2020-04-28,2020-05-01,Same Day,CU-3823,Corporate,East,P-96005,Technology,Accessories,Kensington Keyboard,10296.02,14,0.0,1876.83
CA-01028,2022-05-21,2022-05-25,Standard Class,CU-7738,Corporate,South,P-47719,Office Supplies,Binders,Ibico Binders,391.97,3,0.2,23.85
CA-01029,2022-12-13,2022-12-19,Same Day,CU-6971,Consumer,Central,P-19822,Furniture,Tables,Bevis Computer Table,7422.79,7,0.1,-461.16
CA-01030,2021-05-02,2021-05-06,Standard Class,CU-3608,Corporate,South,P-47131,Furniture,Tables,Bevis Computer Table,11459.98,11,0.2,1894.62
CA-01031,2023-11-06,2023-11-13,First Class,CU-9950,Consumer,West,P-77140,Furniture,Chairs,Bretford Chair,1351.87,4,0.1,-98.68
CA-01032,2021-11-25,2021-11-30,Standard Class,CU-9309,Home Office,East,P-22948,Technology,Phones,Motorola Moto,7427.22,6,0.0,378.19
CA-01033,2022-04-23,2022-04-25,Second Class,CU-2753,Consumer,East,P-25717,Technology,Phones,Samsung Galaxy,256.34,7,0.0,25.98
CA-01034,2023-03-18,2023-03-21,First Class,CU-8133,Corporate,Central,P-86600,Technology,Accessories,Kensington Keyboard,9111.24,12,0.0,1366.73
CA-01035,2020-11-28,2020-11-30,Standard Class,CU-1063,Home Office,East,P-43624,Office Supplies,Appliances,Fellowes Shredder,5081.21,9,0.1,377.11
CA-01036,2020-06-04,2020-06-05,Same Day,CU-8205,Consumer,East,P-91237,Technology,Machines,Polycom ViewStation,459.51,6,0.5,61.0
CA-01037,2022-07-05,2022-07-10,Same Day,CU-3907,Corporate,South,P-56279,Furniture,Tables,Bevis Computer Table,1298.81,9,0.3,-169.15
CA-01038,2022-09-28,2022-10-03,Second Class,CU-2485,Home Office,West,P-47519,Technology,Phones,Motorola Moto,855.8,4,0.0,-2.54
CA-01039,2022-12-11,2022-12-14,Second Class,CU-8133,Corporate,West,P-95396,Office Supplies,Binders,Cardinal Slant-D Binders,7211.33,7,0.0,71.14
CA-01040,2021-11-03,2021-11-07,Second Class,CU-5976,Home Office,West,P-57944,Technology,Phones,Motorola Moto,9610.08,14,0.3,1710.2
CA-01041,2020-02-21,2020-02-23,First Class,CU-9571,Consumer,West,P-65293,Technology,Machines,Cisco TelePresence,9300.82,9,0.2,437.51
CA-01042,2022-02-02,2022-02-09,Standard Class,CU-4660,Corporate,Central,P-63430,Office Supplies,Appliances,Fellowes Shredder,15823.83,11,0.0,1406.79
CA-01043,2020-05-11,2020-05-13,Same Day,CU-2163,Home Office,South,P-60844,Office Supplies,Storage,Tenex Shelf,1294.48,11,0.2,131.83
CA-01044,2022-11-28,2022-12-04,First Class,CU-2252,Home Office,West,P-93810,Furniture,Furnishings,Advantus Panel,6741.01,13,0.3,-21.31
CA-01045,2021-12-13,2021-12-18,Standard Class,CU-7574,Home Office,East,P-40027,Technology,Accessories,Plantronics Headset,12788.71,11,0.0,2542.73
CA-01046,2023-03-07,2023-03-10,Second Class,CU-1776,Corporate,South,P-94250,Technology,Phones,Motorola Moto,1925.04,8,0.0,282.67
CA-01047,2020-09-13,2020-09-17,First Class,CU-2259,Consumer,West,P-43871,Office Supplies,Envelopes,Wausau Astrobright Envelopes,8200.85,14,0.5,1917.16
CA-01048,2021-09-10,2021-09-11,Same Day,CU-5303,Home Office,Central,P-62942,Office Supplies,Supplies,Dixon Ticonderoga Pencils,2680.8,4,0.3,-644.34
CA-01049,2022-11-20,2022-11-26,Second Class,CU-1108,Consumer,East,P-37173,Furniture,Furnishings,Advantus Panel,4833.71,7,0.0,291.44
CA-01050,2021-07-24,2021-07-31,Standard Class,CU-1388,Corporate,South,P-19577,Office Supplies,Supplies,Boston Pencil Sharpener,214.72,1,0.5,1.28
CA-01051,2022-06-29,2022-06-30,First Class,CU-5079,Consumer,Central,P-22871,Office Supplies,Supplies,Dixon Ticonderoga Pencils,241.75,10,0.5,-26.71
CA-01052,2021-02-25,2021-03-02,Same Day,CU-8379,Consumer,East,P-64532,Technology,Phones,Motorola Moto,170.56,13,0.0,30.37
CA-01053,2020-12-23,2020-12-24,Same Day,CU-8614,Consumer,East,P-72830,Technology,Phones,Motorola Moto,9744.35,10,0.3,1304.24
CA-01054,2020-06-15,2020-06-16,Standard Class,CU-1774,Corporate,East,P-86600,Technology,Phones,Samsung Galaxy,10071.54,10,0.1,1273.53
CA-01055,2020-01-23,2020-01-25,Standard Class,CU-5583,Consumer,Central,P-14904,Office Supplies,Art,Dixon Ticonderoga,2352.66,2,0.2,260.89
CA-01056,2021-11-01,2021-11-06,Same Day,CU-4387,Consumer,East,P-98201,Furniture,Furnishings,Eldon Shelf,852.72,6,0.0,62.51
CA-01057,2023-06-28,2023-07-03,First Class,CU-4764,Consumer,South,P-62020,Office Supplies,Fasteners,OIC Push Pins,9935.17,7,0.0,2049.51
CA-01058,2020-08-18,2020-08-20,Same Day,CU-2163,Corporate,Central,P-20729,Office Supplies,Paper,Xerox Paper,3836.89,7,0.1,1064.93
CA-01059,2022-06-16,2022-06-19,Second Class,CU-2380,Consumer,West,P-46790,Technology,Accessories,Plantronics Headset,8393.18,11,0.2,1417.06
CA-01060,2023-09-05,2023-09-06,Second Class,CU-1857,Corporate,Central,P-61520,Technology,Accessories,Plantronics Headset,3569.15,5,0.0,772.22
CA-01061,2022-05-07,2022-05-12,First Class,CU-2772,Corporate,Central,P-48827,Office Supplies,Labels,Mead File Folders Labels,10639.89,9,0.0,2999.55
CA-01062,2023-03-26,2023-04-01,First Class,CU-7599,Home Office,West,P-56824,Office Supplies,Labels,Mead File Folders Labels,5527.92,8,0.5,1372.56
CA-01063,2021-07-14,2021-07-18,Same Day,CU-8396,Corporate,West,P-15001,Furniture,Tables,Bevis Computer Table,112.73,1,0.0,3.41
CA-01064,2022-12-02,2022-12-05,Standard Class,CU-7354,Corporate,West,P-87088,Furniture,Chairs,Global Leather Chair,18.86,1,0.3,-2.44
CA-01065,2022-09-02,2022-09-03,First Class,CU-5045,Consumer,East,P-79488,Office Supplies,Envelopes,Wausau Astrobright Envelopes,11502.8,8,0.0,3414.22
CA-01066,2023-01-04,2023-01-07,First Class,CU-7807,Consumer,Central,P-57257,Office Supplies,Binders,Ibico Binders,218.82,13,0.2,31.71
CA-01067,2023-09-05,2023-09-12,Same Day,CU-6857,Corporate,East,P-22743,Office Supplies,Art,Dixon Ticonderoga,15868.57,14,0.1,3916.19
CA-01068,2023-05-04,2023-05-10,Standard Class,CU-3756,Consumer,West,P-26283,Office Supplies,Fasteners,OIC Staples,635.98,1,0.1,130.71
CA-01069,2020-10-08,2020-10-11,Standard Class,CU-1125,Corporate,East,P-17570,Furniture,Tables,Lesro Table,2380.7,3,0.1,-922.07
CA-01070,2022-03-23,2022-03-28,First Class,CU-7523,Home Office,South,P-42994,Furniture,Bookcases,O'Sullivan Bookcase,5498.59,6,0.2,-163.09
CA-01071,2021-04-28,2021-05-02,Same Day,CU-4877,Home Office,West,P-91858,Technology,Machines,Polycom ViewStation,7161.06,8,0.3,224.07
CA-01072,2022-05-01,2022-05-05,Second Class,CU-9982,Corporate,South,P-92559,Furniture,Furnishings,Eldon Shelf,1748.95,12,0.1,168.71
CA-01073,2021-04-07,2021-04-09,Second Class,CU-4781,Consumer,East,P-37677,Office Supplies,Labels,Avery Labels,5566.2,4,0.0,1483.13
CA-01074,2020-09-05,2020-09-10,Second Class,CU-8910,Corporate,East,P-52975,Furniture,Furnishings,Advantus Panel,9425.92,8,0.2,1572.33
CA-01075,2021-02-19,2021-02-26,First Class,CU-5563,Corporate,South,P-75916,Technology,Phones,Samsung Galaxy,8195.48,9,0.3,1393.3
CA-01076,2021-08-31,2021-09-07,First Class,CU-9732,Home Office,Central,P-77497,Technology,Copiers,Xerox DocuCenter Copier,435.9,2,0.5,150.69
CA-01077,2022-01-11,2022-01-17,Standard Class,CU-3927,Consumer,East,P-98011,Office Supplies,Envelopes,Poly String-Tie Envelopes,18627.59,14,0.1,3905.58
CA-01078,2020-11-20,2020-11-24,Standard Class,CU-3145,Corporate,South,P-13327,Furniture,Chairs,Hon Executive Chair,7769.61,8,0.3,707.3
CA-01079,2023-09-22,2023-09-27,Standard Class,CU-7658,Corporate,East,P-76548,Furniture,Chairs,Bretford Chair,10223.05,11,0.2,-352.98
CA-01080,2020-05-28,2020-06-02,Standard Class,CU-3366,Home Office,East,P-70955,Office Supplies,Storage,Eldon Jumbo Storage,23.46,4,0.5,2.32
CA-01081,2022-06-10,2022-06-15,Same Day,CU-8015,Home Office,West,P-86800,Office Supplies,Appliances,Avery Electric Razor,5119.64,4,0.0,1109.2
CA-01082,2020-06-16,2020-06-18,Second Class,CU-7074,Corporate,Central,P-40773,Technology,Copiers,Xerox DocuCenter Copier,1141.8,8,0.5,281.3
CA-01083,2022-07-20,2022-07-23,Same Day,CU-2680,Corporate,South,P-99781,Office Supplies,Paper,Hammermill Paper,2305.05,11,0.0,485.82
CA-01084,2021-12-24,2021-12-31,Second Class,CU-1741,Consumer,Central,P-16044,Technology,Machines,Polycom ViewStation,741.17,4,0.1,153.27
CA-01085,2023-11-07,2023-11-12,Second Class,CU-9660,Consumer,East,P-77675,Office Supplies,Art,Sanford Pencils,8235.11,13,0.0,785.64
CA-01086,2021-07-18,2021-07-20,Same Day,CU-9854,Corporate,West,P-76807,Office Supplies,Fasteners,OIC Staples,10912.4,8,0.0,2172.56
CA-01087,2023-06-01,2023-06-03,Second Class,CU-1545,Consumer,Central,P-60533,Furniture,Furnishings,Advantus Panel,1186.95,5,0.0,260.1
CA-01088,2023-06-11,2023-06-15,Second Class,CU-5232,Corporate,South,P-26665,Furniture,Tables,Chromcraft Table,7094.64,14,0.5,-1080.15
CA-01089,2021-04-10,2021-04-17,First Class,CU-9441,Corporate,East,P-96378,Furniture,Furnishings,Eldon Shelf,6457.67,11,0.1,953.17
CA-01090,2022-04-15,2022-04-16,Standard Class,CU-1427,Consumer,East,P-14586,Technology,Accessories,Logitech Mouse,9784.53,14,0.1,2121.07
CA-01091,2023-08-03,2023-08-08,Standard Class,CU-3074,Home Office,West,P-47494,Technology,Accessories,Kensington Keyboard,3196.2,7,0.0,436.95
CA-01092,2020-08-25,2020-08-26,Same Day,CU-4690,Corporate,East,P-48819,Furniture,Bookcases,Sauder Bookcases,1326.26,2,0.1,-273.67
CA-01093,2020-11-30,2020-12-03,Second Class,CU-3999,Corporate,South,P-30542,Office Supplies,Storage,Eldon Jumbo Storage,6501.6,9,0.0,100.11
CA-01094,2021-12-23,2021-12-27,Standard Class,CU-3870,Corporate,South,P-22438,Technology,Copiers,HP LaserJet Copier,2391.27,13,0.2,583.23
CA-01095,2023-04-07,2023-04-08,Standard Class,CU-1799,Home Office,East,P-61228,Furniture,Tables,Bevis Computer Table,2796.36,3,0.0,56.51
CA-01096,2021-02-13,2021-02-19,Standard Class,CU-9955,Corporate,South,P-86993,Furniture,Furnishings,Tensor Lamp,1589.12,8,0.2,129.38
CA-01097,2023-11-14,2023-11-19,Second Class,CU-2336,Corporate,South,P-38655,Furniture,Chairs,Hon Executive Chair,3545.75,13,0.5,-154.84
CA-01098,2022-01-22,2022-01-25,Standard Class,CU-7622,Consumer,Central,P-41182,Office Supplies,Storage,Fellowes File Cabinet,1095.93,9,0.0,113.82
CA-01099,2023-05-19,2023-05-24,First Class,CU-2331,Corporate,East,P-63444,Office Supplies,Appliances,Avery Electric Razor,1676.99,5,0.3,226.92
CA-01100,2020-03-28,2020-03-30,First Class,CU-9316,Home Office,East,P-11492,Furniture,Bookcases,O'Sullivan Bookcase,16067.16,12,0.1,-885.62
CA-01101,2022-04-16,2022-04-23,Standard Class,CU-2640,Corporate,Central,P-34586,Office Supplies,Supplies,Boston Pencil Sharpener,806.62,2,0.5,-119.58
CA-01102,2021-05-16,2021-05-21,Second Class,CU-2406,Consumer,Central,P-30815,Technology,Accessories,Kensington Keyboard,315.07,14,0.3,66.08
CA-01103,2020-09-27,2020-10-01,First Class,CU-7867,Corporate,West,P-61023,Technology,Phones,Motorola Moto,8144.32,8,0.0,1711.23
CA-01104,2023-09-11,2023-09-15,Second Class,CU-4851,Consumer,South,P-46716,Furniture,Tables,Lesro Table,16730.84,14,0.0,-1165.37
CA-01105,2020-08-21,2020-08-26,Second Class,CU-7137,Corporate,South,P-27958,Technology,Accessories,Plantronics Headset,10097.64,7,0.0,1223.08
CA-01106,2021-05-15,2021-05-19,Standard Class,CU-4716,Consumer,South,P-56531,Technology,Phones,Motorola Moto,11995.26,13,0.3,1465.39
CA-01107,2023-10-18,2023-10-22,Same Day,CU-8749,Corporate,Central,P-81827,Furniture,Furnishings,Advantus Panel,9495.08,7,0.0,592.07
CA-01108,2021-10-27,2021-10-28,First Class,CU-9380,Corporate,East,P-89880,Office Supplies,Appliances,Hoover Stove,853.25,3,0.5,192.17
CA-01109,2022-04-14,2022-04-19,First Class,CU-5538,Corporate,West,P-52087,Office Supplies,Envelopes,Wausau Astrobright Envelopes,5427.9,6,0.0,1007.02
CA-01110,2023-01-27,2023-01-28,Second Class,CU-1213,Corporate,West,P-95939,Furniture,Bookcases,Bush Bookcases,5142.1,5,0.0,-1253.11
CA-01111,2022-05-02,2022-05-09,Same Day,CU-5309,Corporate,East,P-56980,Technology,Accessories,Logitech Mouse,1535.6,5,0.0,106.68
CA-01112,2020-01-13,2020-01-17,Standard Class,CU-8951,Consumer,West,P-19962,Furniture,Chairs,Global Leather Chair,980.52,2,0.5,-118.99
CA-01113,2021-03-16,2021-03-23,Same Day,CU-4193,Consumer,West,P-95768,Furniture,Chairs,Hon Executive Chair,8123.12,11,0.5,-478.36
CA-01114,2020-11-20,2020-11-24,Second Class,CU-4622,Home Office,East,P-58812,Office Supplies,Appliances,Fellowes Shredder,7616.82,6,0.0,533.31
CA-01115,2020-06-04,2020-06-10,Standard Class,CU-8630,Corporate,West,P-43412,Office Supplies,Art,Fiskars Scissors,5299.3,6,0.2,1080.76
CA-01116,2020-03-04,2020-03-06,Same Day,CU-7539,Consumer,South,P-19035,Technology,Copiers,HP LaserJet Copier,834.21,9,0.5,151.8
CA-01117,2022-08-08,2022-08-11,Standard Class,CU-2206,Corporate,South,P-86619,Office Supplies,Binders,Avery Heavy Binders,334.49,1,0.1,56.36
CA-01118,2022-11-17,2022-11-19,First Class,CU-1668,Corporate,West,P-89918,Office Supplies,Storage,Tenex Shelf,1230.35,5,0.0,23.76
CA-01119,2021-10-21,2021-10-25,Second Class,CU-4237,Consumer,Central,P-21309,Furniture,Tables,Bevis Computer Table,3535.22,6,0.1,-321.4
CA-01120,2020-08-02,2020-08-04,Same Day,CU-8868,Home Office,West,P-12704,Furniture,Tables,Bevis Computer Table,1703.92,6,0.1,-188.36
CA-01121,2023-08-29,2023-09-03,Second Class,CU-6943,Consumer,South,P-26851,Office Supplies,Art,Fiskars Scissors,1086.61,2,0.1,176.26
CA-01122,2021-06-25,2021-06-29,First Class,CU-6031,Home Office,South,P-14509,Technology,Phones,Apple iPhone,16576.8,12,0.0,640.36
CA-01123,2020-03-19,2020-03-25,First Class,CU-5778,Corporate,South,P-49418,Technology,Copiers,HP LaserJet Copier,2027.78,9,0.3,426.81
CA-01124,2021-02-13,2021-02-15,Same Day,CU-4906,Corporate,East,P-23709,Furniture,Furnishings,Tensor Lamp,8971.3,13,0.0,912.66
CA-01125,2022-08-03,2022-08-06,Same Day,CU-6923,Consumer,West,P-63971,Technology,Machines,Cisco TelePresence,2916.23,6,0.3,-3.6
CA-01126,2022-03-22,2022-03-24,Second Class,CU-9890,Corporate,South,P-50466,Furniture,Chairs,Global Leather Chair,2031.65,2,0.2,163.67
CA-01127,2021-10-23,2021-10-27,Same Day,CU-7429,Consumer,Central,P-42969,Furniture,Tables,Lesro Table,4023.45,11,0.2,311.87
CA-01128,2020-08-06,2020-08-12,First Class,CU-2705,Home Office,West,P-68235,Technology,Machines,Cisco TelePresence,11024.83,9,0.1,1349.17
CA-01129,2021-01-12,2021-01-13,Second Class,CU-7596,Corporate,West,P-69661,Office Supplies,Envelopes,Wausau Astrobright Envelopes,12034.8,12,0.0,2226.51
CA-01130,2020-08-25,2020-08-31,Standard Class,CU-2549,Home Office,West,P-21642,Furniture,Bookcases,O'Sullivan Bookcase,2616.53,14,0.5,-397.99
CA-01131,2021-02-14,2021-02-19,Second Class,CU-5913,Consumer,East,P-73124,Technology,Copiers,Xerox DocuCenter Copier,2000.5,13,0.5,498.71
CA-01132,2021-03-25,2021-03-30,Second Class,CU-4962,Home Office,Central,P-71687,Technology,Phones,Samsung Galaxy,1464.31,1,0.0,196.5
CA-01133,2023-11-06,2023-11-11,Same Day,CU-3952,Home Office,West,P-38999,Office Supplies,Appliances,Fellowes Shredder,7582.84,6,0.1,1218.14
CA-01134,2023-04-01,2023-04-04,First Class,CU-3844,Corporate,West,P-85898,Technology,Machines,Polycom ViewStation,16433.28,12,0.0,1548.99
CA-01135,2020-12-06,2020-12-12,Same Day,CU-6455,Home Office,Central,P-68033,Technology,Phones,Apple iPhone,1237.32,2,0.1,275.97
CA-01136,2021-06-13,2021-06-16,First Class,CU-6138,Corporate,West,P-25092,Office Supplies,Binders,Avery Heavy Binders,6125.0,5,0.0,1138.44
CA-01137,2020-07-15,2020-07-21,Same Day,CU-2037,Corporate,West,P-45105,Office Supplies,Appliances,Hoover Stove,4650.52,4,0.0,247.05
CA-01138,2020-02-08,2020-02-11,Standard Class,CU-6693,Home Office,East,P-16267,Office Supplies,Supplies,Dixon Ticonderoga Pencils,6718.51,6,0.2,695.57
CA-01139,2021-11-26,2021-12-03,Second Class,CU-6180,Consumer,South,P-25871,Technology,Accessories,Kensington Keyboard,551.07,4,0.2,31.62
CA-01140,2021-03-06,2021-03-11,First Class,CU-1953,Consumer,Central,P-18567,Furniture,Chairs,Global Leather Chair,14285.76,12,0.2,1830.05
CA-01141,2021-03-09,2021-03-13,Second Class,CU-7867,Consumer,South,P-41800,Technology,Machines,Cisco TelePresence,245.61,3,0.0,22.59
CA-01142,2023-09-29,2023-10-02,Same Day,CU-2506,Home Office,South,P-54212,Furniture,Tables,Lesro Table,6746.94,6,0.0,-894.65
CA-01143,2023-08-29,2023-08-30,Same Day,CU-5589,Corporate,East,P-14752,Furniture,Tables,Bevis Computer Table,4015.45,5,0.0,-877.92
CA-01144,2020-05-24,2020-05-25,Same Day,CU-1237,Home Office,West,P-23217,Furniture,Bookcases,Sauder Bookcases,4942.32,5,0.2,-295.77
CA-01145,2021-10-25,2021-10-31,First Class,CU-6287,Corporate,South,P-33170,Furniture,Tables,Bevis Computer Table,594.75,1,0.0,32.48
CA-01146,2022-11-08,2022-11-12,Same Day,CU-6837,Corporate,Central,P-77633,Furniture,Tables,Bevis Computer Table,1663.45,5,0.0,-274.77
CA-01147,2020-08-24,2020-08-26,Standard Class,CU-8682,Corporate,East,P-22348,Technology,Accessories,Plantronics Headset,420.54,1,0.3,87.37
CA-01148,2020-09-25,2020-10-02,Second Class,CU-6553,Home Office,West,P-29871,Technology,Machines,Cisco TelePresence,9169.44,14,0.5,-933.16
CA-01149,2020-01-10,2020-01-14,First Class,CU-5176,Consumer,West,P-12391,Office Supplies,Labels,Mead File Folders Labels,12312.43,11,0.1,3743.62
CA-01150,2022-06-23,2022-06-25,Second Class,CU-4136,Corporate,Central,P-60509,Office Supplies,Appliances,Avery Electric Razor,5690.4,5,0.0,136.5
CA-01151,2020-08-25,2020-08-28,First Class,CU-4260,Consumer,West,P-10096,Furniture,Chairs,Bretford Chair,6404.58,7,0.1,516.39
CA-01152,2023-02-10,2023-02-12,First Class,CU-8563,Home Office,South,P-94197,Furniture,Bookcases,Bush Bookcases,4245.48,12,0.5,215.46
CA-01153,2021-11-08,2021-11-10,First Class,CU-4732,Corporate,East,P-28628,Office Supplies,Appliances,Fellowes Shredder,1300.28,5,0.2,73.47
CA-01154,2022-08-09,2022-08-16,Standard Class,CU-5725,Consumer,East,P-42162,Furniture,Chairs,Global Leather Chair,1632.99,3,0.0,-65.91
CA-01155,2023-03-15,2023-03-22,Standard Class,CU-1457,Corporate,Central,P-20379,Office Supplies,Binders,Ibico Binders,77.12,1,0.5,-8.9
CA-01156,2023-11-06,2023-11-12,Same Day,CU-4983,Consumer,East,P-13975,Office Supplies,Labels,Avery Labels,1108.04,2,0.3,303.02
CA-01157,2020-05-06,2020-05-11,Same Day,CU-3933,Corporate,West,P-54877,Furniture,Chairs,Hon Executive Chair,2362.91,13,0.3,-141.35
CA-01158,2023-03-21,2023-03-24,Second Class,CU-2951,Home Office,South,P-27388,Office Supplies,Fasteners,Advantus Push Pins,1885.82,12,0.2,457.92
CA-01159,2022-04-23,2022-04-26,First Class,CU-4411,Consumer,South,P-93408,Technology,Accessories,Plantronics Headset,6501.2,10,0.0,1001.7
CA-01160,2021-01-30,2021-02-03,Second Class,CU-4153,Home Office,West,P-59895,Technology,Phones,Motorola Moto,8762.29,14,0.1,1236.69
CA-01161,2022-02-15,2022-02-16,Second Class,CU-8768,Consumer,West,P-29308,Office Supplies,Binders,Ibico Binders,5430.3,5,0.0,334.99
CA-01162,2022-02-07,2022-02-13,Second Class,CU-9930,Corporate,South,P-14731,Technology,Machines,Polycom ViewStation,6286.7,14,0.5,624.62
CA-01163,2023-09-07,2023-09-12,Same Day,CU-9219,Consumer,West,P-60639,Office Supplies,Supplies,Boston Pencil Sharpener,876.68,14,0.0,106.96
CA-01164,2020-12-15,2020-12-19,Same Day,CU-9425,Consumer,Central,P-39764,Furniture,Bookcases,Bush Bookcases,35.59,3,0.1,-0.89
CA-01165,2020-03-26,2020-03-28,First Class,CU-2933,Home Office,West,P-58283,Technology,Phones,Motorola Moto,11634.9,10,0.0,-337.92
CA-01166,2023-05-28,2023-05-30,Same Day,CU-4506,Home Office,South,P-82985,Furniture,Tables,Bevis Computer Table,14759.7,14,0.2,-5167.79
CA-01167,2022-11-30,2022-12-05,Same Day,CU-2158,Corporate,Central,P-20655,Office Supplies,Fasteners,Advantus Push Pins,7255.69,13,0.0,1495.39
CA-01168,2022-10-27,2022-10-30,Second Class,CU-5557,Consumer,South,P-51730,Technology,Phones,Apple iPhone,224.62,11,0.5,32.87
CA-01169,2020-06-14,2020-06-17,First Class,CU-9648,Corporate,East,P-57002,Office Supplies,Paper,Hammermill Paper,623.42,12,0.2,142.37
CA-01170,2021-12-19,2021-12-22,Standard Class,CU-3021,Corporate,East,P-82806,Technology,Accessories,Kensington Keyboard,4263.72,3,0.0,708.65
CA-01171,2023-12-17,2023-12-24,First Class,CU-4279,Corporate,East,P-13230,Office Supplies,Supplies,Dixon Ticonderoga Pencils,6722.46,13,0.2,18.69
CA-01172,2022-08-22,2022-08-23,Same Day,CU-4497,Corporate,South,P-14060,Furniture,Furnishings,Advantus Panel,1094.74,3,0.2,103.5
CA-01173,2021-02-16,2021-02-17,Standard Class,CU-1622,Home Office,South,P-92416,Furniture,Tables,Lesro Table,166.5,1,0.3,-24.17
CA-01174,2023-12-15,2023-12-16,Second Class,CU-5621,Home Office,West,P-35743,Technology,Machines,Polycom ViewStation,704.14,3,0.5,1.43
CA-01175,2020-07-05,2020-07-10,Same Day,CU-4257,Home Office,East,P-94903,Furniture,Tables,Bevis Computer Table,8198.23,8,0.3,-421.53
